epoch,iso,status,http_code,latency_ms,error
1783074972.334,2026-07-03T10:36:12.845376+00:00,PASS,200,511.2,
1783074972.846,2026-07-03T10:36:13.495464+00:00,PASS,200,649.3,
1783074973.496,2026-07-03T10:36:14.366771+00:00,PASS,200,871.2,
1783074974.367,2026-07-03T10:36:14.958794+00:00,PASS,200,591.8,
1783074974.959,2026-07-03T10:36:15.735782+00:00,PASS,200,776.7,
1783074975.736,2026-07-03T10:36:16.484597+00:00,PASS,200,748.6,
1783074976.485,2026-07-03T10:36:17.119806+00:00,PASS,200,635.1,
1783074977.120,2026-07-03T10:36:17.767088+00:00,PASS,200,647.2,
1783074977.767,2026-07-03T10:36:18.462791+00:00,PASS,200,695.5,
1783074978.463,2026-07-03T10:36:19.179769+00:00,PASS,200,716.8,
1783074979.180,2026-07-03T10:36:20.216909+00:00,PASS,200,1036.9,
1783074980.217,2026-07-03T10:36:21.003783+00:00,PASS,200,786.6,
1783074981.004,2026-07-03T10:36:21.546024+00:00,PASS,200,542.1,
1783074981.546,2026-07-03T10:36:22.278115+00:00,PASS,200,731.9,
1783074982.278,2026-07-03T10:36:22.787912+00:00,PASS,200,509.7,
1783074982.788,2026-07-03T10:36:23.325194+00:00,PASS,200,537.1,
1783074983.325,2026-07-03T10:36:23.829683+00:00,PASS,200,504.4,
1783074983.830,2026-07-03T10:36:24.347269+00:00,PASS,200,517.3,
1783074984.347,2026-07-03T10:36:25.242433+00:00,PASS,200,895.0,
1783074985.243,2026-07-03T10:36:25.853977+00:00,PASS,200,611.4,
1783074985.854,2026-07-03T10:36:26.857483+00:00,PASS,200,1003.2,
1783074986.858,2026-07-03T10:36:27.874842+00:00,PASS,200,1017.1,
1783074987.875,2026-07-03T10:36:28.885763+00:00,PASS,200,1010.7,
1783074988.886,2026-07-03T10:36:29.953912+00:00,PASS,200,1067.8,
1783074989.954,2026-07-03T10:36:30.665739+00:00,PASS,200,711.6,
1783074990.666,2026-07-03T10:36:31.255849+00:00,PASS,200,589.8,
1783074991.256,2026-07-03T10:36:31.981433+00:00,PASS,200,725.4,
1783074991.982,2026-07-03T10:36:32.602783+00:00,PASS,200,621.1,
1783074992.603,2026-07-03T10:36:33.108210+00:00,PASS,200,505.2,
1783074993.108,2026-07-03T10:36:33.870816+00:00,PASS,200,762.4,
1783074993.871,2026-07-03T10:36:34.378881+00:00,PASS,200,507.8,
1783074994.379,2026-07-03T10:36:35.010838+00:00,PASS,200,631.8,
1783074995.011,2026-07-03T10:36:35.612614+00:00,PASS,200,601.2,
1783074995.613,2026-07-03T10:36:36.185061+00:00,PASS,200,572.3,
1783074996.185,2026-07-03T10:36:36.732531+00:00,PASS,200,547.3,
1783074996.733,2026-07-03T10:36:37.466001+00:00,PASS,200,733.4,
1783074997.466,2026-07-03T10:36:37.969547+00:00,PASS,200,503.3,
1783074997.970,2026-07-03T10:36:38.486630+00:00,PASS,200,516.8,
1783074998.487,2026-07-03T10:36:39.064071+00:00,PASS,200,577.4,
1783074999.064,2026-07-03T10:36:39.577874+00:00,PASS,200,513.7,
1783074999.578,2026-07-03T10:36:40.085911+00:00,PASS,200,507.8,
1783075000.086,2026-07-03T10:36:40.767597+00:00,PASS,200,681.5,
1783075000.768,2026-07-03T10:36:41.608197+00:00,PASS,200,840.4,
1783075001.608,2026-07-03T10:36:42.319794+00:00,PASS,200,711.5,
1783075002.320,2026-07-03T10:36:42.863062+00:00,PASS,200,542.8,
1783075002.863,2026-07-03T10:36:43.705209+00:00,PASS,200,842.0,
1783075003.705,2026-07-03T10:36:44.567443+00:00,PASS,200,862.0,
1783075004.568,2026-07-03T10:36:45.592911+00:00,PASS,200,1025.3,
1783075005.593,2026-07-03T10:36:46.246892+00:00,PASS,200,653.8,
1783075006.247,2026-07-03T10:36:46.875931+00:00,PASS,200,628.8,
1783075006.876,2026-07-03T10:36:48.007103+00:00,PASS,200,1130.9,
1783075008.007,2026-07-03T10:36:49.108120+00:00,PASS,200,1100.8,
1783075009.108,2026-07-03T10:36:49.702636+00:00,PASS,200,594.2,
1783075009.703,2026-07-03T10:36:50.362420+00:00,PASS,200,659.5,
1783075010.363,2026-07-03T10:36:51.080358+00:00,PASS,200,717.8,
1783075011.080,2026-07-03T10:36:51.966080+00:00,PASS,200,885.6,
1783075011.966,2026-07-03T10:36:52.974624+00:00,PASS,200,1008.2,
1783075012.975,2026-07-03T10:36:53.586218+00:00,PASS,200,611.4,
1783075013.586,2026-07-03T10:36:54.588043+00:00,PASS,200,1001.6,
1783075014.588,2026-07-03T10:36:55.100292+00:00,PASS,200,512.0,
1783075015.100,2026-07-03T10:36:56.712270+00:00,PASS,200,1611.8,
1783075016.713,2026-07-03T10:36:57.229549+00:00,PASS,200,517.0,
1783075017.230,2026-07-03T10:36:57.780345+00:00,PASS,200,550.7,
1783075017.781,2026-07-03T10:36:58.401956+00:00,PASS,200,621.4,
1783075018.402,2026-07-03T10:36:59.092671+00:00,PASS,200,690.6,
1783075019.093,2026-07-03T10:36:59.878482+00:00,PASS,200,785.6,
1783075019.879,2026-07-03T10:37:00.654158+00:00,PASS,200,775.2,
1783075020.654,2026-07-03T10:37:01.660682+00:00,PASS,200,1006.3,
1783075021.661,2026-07-03T10:37:02.179100+00:00,PASS,200,518.3,
1783075022.179,2026-07-03T10:37:03.133960+00:00,PASS,200,954.6,
1783075023.134,2026-07-03T10:37:03.723620+00:00,PASS,200,589.4,
1783075023.724,2026-07-03T10:37:04.312942+00:00,PASS,200,589.1,
1783075024.313,2026-07-03T10:37:05.105724+00:00,PASS,200,792.6,
1783075025.106,2026-07-03T10:37:05.861728+00:00,PASS,200,755.7,
1783075025.862,2026-07-03T10:37:06.860023+00:00,PASS,200,998.1,
1783075026.860,2026-07-03T10:37:07.841823+00:00,PASS,200,981.6,
1783075027.842,2026-07-03T10:37:08.352233+00:00,PASS,200,510.2,
1783075028.352,2026-07-03T10:37:09.192052+00:00,PASS,200,839.7,
1783075029.192,2026-07-03T10:37:10.145998+00:00,PASS,200,953.6,
1783075030.146,2026-07-03T10:37:10.936178+00:00,PASS,200,789.9,
1783075030.936,2026-07-03T10:37:11.909366+00:00,PASS,200,973.0,
1783075031.910,2026-07-03T10:37:12.414480+00:00,PASS,200,504.9,
1783075032.415,2026-07-03T10:37:13.173471+00:00,PASS,200,758.9,
1783075033.174,2026-07-03T10:37:13.930452+00:00,PASS,200,756.8,
1783075033.931,2026-07-03T10:37:14.488558+00:00,PASS,200,557.9,
1783075034.489,2026-07-03T10:37:14.997644+00:00,PASS,200,508.9,
1783075034.998,2026-07-03T10:37:15.705449+00:00,PASS,200,707.7,
1783075035.706,2026-07-03T10:37:16.216218+00:00,PASS,200,510.5,
1783075036.216,2026-07-03T10:37:17.223046+00:00,PASS,200,1006.6,
1783075037.223,2026-07-03T10:37:18.018776+00:00,PASS,200,795.6,
1783075038.019,2026-07-03T10:37:18.993519+00:00,PASS,200,974.6,
1783075038.994,2026-07-03T10:37:19.494208+00:00,PASS,200,500.5,
1783075039.494,2026-07-03T10:37:21.025381+00:00,PASS,200,1531.0,
1783075041.026,2026-07-03T10:37:22.039409+00:00,PASS,200,1013.9,
1783075042.040,2026-07-03T10:37:22.901443+00:00,PASS,200,861.8,
1783075042.902,2026-07-03T10:37:23.888296+00:00,PASS,200,986.6,
1783075043.888,2026-07-03T10:37:24.396700+00:00,PASS,200,508.2,
1783075044.397,2026-07-03T10:37:25.205557+00:00,PASS,200,808.7,
1783075045.206,2026-07-03T10:37:26.185427+00:00,PASS,200,979.7,
1783075046.186,2026-07-03T10:37:27.190016+00:00,PASS,200,1004.4,
1783075047.190,2026-07-03T10:37:27.943180+00:00,PASS,200,752.7,
1783075047.943,2026-07-03T10:37:28.555915+00:00,PASS,200,612.6,
1783075048.556,2026-07-03T10:37:29.112538+00:00,PASS,200,556.5,
1783075049.113,2026-07-03T10:37:29.954380+00:00,PASS,200,841.7,
1783075049.954,2026-07-03T10:37:30.757824+00:00,PASS,200,803.3,
1783075050.758,2026-07-03T10:37:31.764002+00:00,PASS,200,1005.9,
1783075051.764,2026-07-03T10:37:32.270282+00:00,PASS,200,506.0,
1783075052.270,2026-07-03T10:37:33.250570+00:00,PASS,200,980.1,
1783075053.251,2026-07-03T10:37:34.187324+00:00,PASS,200,936.4,
1783075054.187,2026-07-03T10:37:34.784477+00:00,PASS,200,597.0,
1783075054.785,2026-07-03T10:37:35.439917+00:00,PASS,200,655.2,
1783075055.440,2026-07-03T10:37:36.159084+00:00,PASS,200,719.0,
1783075056.159,2026-07-03T10:37:37.017784+00:00,PASS,200,858.5,
1783075057.018,2026-07-03T10:37:38.027957+00:00,PASS,200,1010.0,
1783075058.028,2026-07-03T10:37:38.568848+00:00,PASS,200,540.8,
1783075058.569,2026-07-03T10:37:39.085262+00:00,PASS,200,516.3,
1783075059.085,2026-07-03T10:37:39.908902+00:00,PASS,200,823.4,
1783075059.909,2026-07-03T10:37:40.492357+00:00,PASS,200,583.1,
1783075060.493,2026-07-03T10:37:41.263714+00:00,PASS,200,771.1,
1783075061.264,2026-07-03T10:37:41.819254+00:00,PASS,200,555.2,
1783075061.819,2026-07-03T10:37:42.406669+00:00,PASS,200,587.2,
